﻿MORE_THAN_STRONG_FLAVOUR,Extremely {0},非常に{0}
FantasySet_GoudyMed_SetName,Goudy Medieval,ガウディー中世
FantasySet_GoudyMixed_SetName,Fantasy,ファンタジー
FantasySet_GoudyThirty_SetName,Goudy Thirty,ガウディー30
LegacySet_SetName,Accessible,アクセス可能
TypewriterSet_SetName,Stylized,スタイル
Heavy_CategoryName,Heavy,重い
Light_CategoryName,Light,軽い
Medium_CategoryName,Medium,普通
Agent_Badger_AgentName,Badger,アナグマ
Agent_Boar_AgentName,Boar,イノシシ
Agent_Doe_AgentName,Doe,雌鹿
Agent_Fox_AgentName,Fox,キツネ
Agent_Partridge_AgentName,Partridge,ヤマウズラ
Agent_Stag_AgentName,Stag,雄鹿
Agent_Trader_AgentName,Trader,商人
Agent_Trader_AgentDescription,An old traveller and his mule companion are camping here. ,年取った旅人と彼のラバがここでキャンプしてる。
Agent_Trader_Dialogs[0].DialogName,Talk,話す
Agent_Wolf_AgentName,Wolf,狼
Agent_WolfPack_AgentName,Wolf Pack,狼の群れ
DefaultTracksCard_CardName,Tracks!,足跡！
DefaultTracksCard_CardDescription,Something left tracks!,何かの足跡があった！
DefaultTracksCard_SpoilageTime.CardStatName,Freshness,鮮度
RiverFishermanWest_UsageDurability.CardStatName,Nutrition,栄養
RiverFishermanWest_FuelCapacity.CardStatName,Hydration,水分
Bp_Cabin_CardName,Cabin,山小屋
Bp_Cabin_UnlockConditionsDesc,Mud Needed,泥が必要
Bp_LogTrap_CardName,Log Trap,丸太の罠
Bp_LogTrap_CardDescription,A big game trap.,大きい動物を捕まえる罠
Bp_LogTrap_UnlockConditionsDesc,More Trapping Needed,罠作りのスキルが足りない
Bp_MudHut_CardName,Mud Hut,泥小屋
Bp_Planks_CardName,Wooden Planks,木の板
Bp_Planks_CardDescription,Useful for more advanced construction.,高度な建築に使える。
Bp_StoneMortarAndPestle_CardName,Saddle Quern,サドルカーン
Bp_TanningPit_CardName,Tanning Pit,タンニングピット
Bp_TanningPit_CardDescription,A large covered pit used for converting hides into leather. Must be filled with tanning liquor to work.,毛皮を革に変えるために使うピット。タンニングリキュールを入れる必要がある。
Bp_TanningPit_UnlockConditionsDesc,More Leatherworking Needed,革加工のスキルが足りない
Bp_TilledField_CardName,Tilled Field,耕した畑
Bp_TilledField_CardDescription,"A more effective way to grow crops en masse, as they require less attention than gardens and yield more.\n\n<b>Warning: </b>Wetlands and Pine groves are acidic and bad for many crops, while river areas tend to have low acidity.","作物を効果的に育てる方法。ガーデンほど手間がかからない。\n\n<b>注意：湿地と松の林は酸度が高く、多くの作物に害を与える。川がある場所は酸度が低い。"
Bp_Amulet_CardName*,Amulet,お守り
Bp_ArrowBone_CardName,Bone Arrows,骨の矢
Bp_ArrowBone_CardDescription,Well balanced arrows with bone arrowheads.,骨の矢じりが付いたバランスの良い矢。
Bp_ArrowBone_UnlockConditionsDesc,More Archery Needed,弓術のスキルが足りない
Bp_BarkSandals_CardName,Bark Sandals,樹皮のサンダル
Bp_BarkSandals_CardDescription,"They're not comfortable, but they should protect my feet from damage.",履き心地はいまいちだが履けば足を守れる。
Bp_Basket_CardName,Basket,カゴ
Bp_Basket_CardDescription,"Provides storage space, comfort and preserves food longer.",収納スペースとして使うことができ、快適さを向上する。入れた食べ物は長持ちする。
Bp_Basket_UnlockConditionsDesc,Dry Reeds Needed,乾燥したヨシが必要
Bp_Bedroll_CardName,Bedroll,寝袋
Bp_Bedroll_CardDescription,"A portable bed. Increases wellbeing, focus and insulation while sleeping on it.",持ち運び可能なベッド。幸福度、集中力と体温を向上する。
Bp_Bedroll_UnlockConditionsDesc,Leather Pants Needed,革のパンツが必要
Bp_BoneKnife_CardName,Bone Knife,骨のナイフ
Bp_BoneKnife_CardDescription,A sharp bone knife.,鋭い骨のナイフ。
Bp_BoneKnife_UnlockConditionsDesc,Bones Needed,骨が必要
Bp_BreadLoaf_CardName,Bread Loaf,パン
Bp_Broom_CardName,Broom,ほうき
Bp_Broom_CardDescription,Used for sweeping and cleaning indoor areas.,床掃除に使う。
Bp_Campfire_CardName,Campfire,キャンプファイヤー
Bp_Campfire_CardDescription,"Perfect for cooking, should provide me with warmth and light.",料理に最適で、暖かさと明るさを確保できる。
Bp_ClayBowl_CardName,Clay Bowl,粘土のボウル
Bp_ClayBowl_CardDescription,"Can be used as a drinking cup, an eating bowl, or to prepare teas.",コップ、ボウル、お茶の準備などに使える。
Bp_ClayBowl_UnlockConditionsDesc,Clay Needed,粘土が足りない
Bp_ClayCauldron_CardName,Clay Cauldron,粘土の鍋
Bp_ClayCauldron_CardDescription,Can be used to prepare broths and stews.,出汁を取ったり、シチューを作るために使える。
Bp_ClayCauldron_UnlockConditionsDesc,Kiln Needed,窯が必要
Bp_ClayJar_CardName,Clay Jar,粘土の瓶
Bp_ClayJar_CardDescription,"A small sealed container, ideal for preserving spices, medicines and dried powders in general.",塞いだ小さい容器。スパイス、薬、乾燥したパウダーを保存するために使う。
Bp_ClayJar_UnlockConditionsDesc,Oven Needed,オーブンが必要
Bp_ClayPlate_CardName,Clay Plate,粘土の皿
Bp_ClayPlate_CardDescription,Serves as a basic dish for meals.,食事用の皿
Bp_ClayPlate_UnlockConditionsDesc,Oven Needed,オーブンが必要
Bp_ClayStoragePot_CardName,Storage Pot,収納ポット
Bp_ClayStoragePot_CardDescription,A large sealed container; preserves food and provides comfort.,塞いだ大きい容器。食料を保存するために使い、快適さが向上する。
Bp_ClayStoragePot_UnlockConditionsDesc,Kiln Needed,窯が必要
Bp_ClayVase_CardName,Clay Vase,粘土の壺
Bp_ClayVase_CardDescription,A medium sized container for storing water and other liquids.,中型の容器。水や他の液体を入れて使う。
Bp_ClayVase_UnlockConditionsDesc,Kiln Needed,窯が必要
Bp_ClothLarge_CardName,Large cloth,大きな布
Bp_ClothMedium_CardName,Cloth,布
Bp_ClothSmall_CardName,Small Cloth,小さい布
Bp_CookingPot_CardName,Cooking Pot,料理ポット
Bp_CookingPot_CardDescription,A cooking pot for preparing more advanced meals. Needs to be fired in a Kiln.,高度な料理を作るための料理ポット。窯で焼く必要がある。
Bp_CookingPot_UnlockConditionsDesc,Oven Needed,オーブンが必要
Bp_DeadfallTrap_CardName,Deadfall Trap,落石トラップ
Bp_DeadfallTrap_CardDescription,Useful for catching small prey. Needs bait to work.,小さい動物を捕まえる時に役立つ。餌が必要。
Bp_DoughStarter_CardName,Dough Starter,元種
Bp_FermentationBin_CardName,Fermentation Bin,発酵箱
Bp_FermentationBin_UnlockConditionsDesc,Kiln Needed,窯が必要
Bp_FishBaitScraps_CardName,Fishing Bait,魚の餌
Bp_FishingBait_CardDescription,Can be equipped to a fishing line to substantially increase your chances of catching fish.,釣り糸に付けたら魚を捕まえる確率が上がる。
Bp_FishingLine_Rustic_CardName,Fishing Line,釣り糸
Bp_FishingLine_Rustic_CardDescription,A simple tool for fishing.,釣りで使えるツール
Bp_FlintHoe_CardName,Flint Hoe,火打石のクワ
Bp_FlintHoe_CardDescription,Farming tool for tilling fields and improving soil structure.,畑を耕して、土を手入れするときに使う農具
Bp_Flint_Arrows_CardName,Flint Arrows,火打石の矢
Bp_Flint_Arrows_CardDescription,Sharp enough to pierce through the hides of larger animal.,大きな動物の皮膚を貫くほど鋭い。
Bp_Flint_Arrows_UnlockConditionsDesc,More Archery Needed,弓術のスキルが足りない
Bp_Flint_Axe_CardName,Flint Axe,火打石の斧
Bp_Flint_Axe_CardDescription,"Sharp enough to cut down trees, ideal for clearing overgrowth and producing wood.",木を切れるほど鋭い。雑草の処理や木材を作るためにも使える。
Bp_Flint_Spear_CardName,Flint Spear,火打石の槍
Bp_Flint_Spear_CardDescription,"A close combat weapon with good reach. Good for hunting large game and defending yourself from predators.\n\nSharp enough to pierce through thick animal hides.","リーチがある接近武器。大きい動物の狩りや敵から身を守るために使える。\n\n大きい動物の皮膚を貫くほど鋭い。"
Bp_Flint_Spear_UnlockConditionsDesc,Flint Knife Needed,火打石のナイフが必要
Bp_Fungicide_CardName,Fungicide,殺菌剤
Bp_FurBlanket_CardName,Fur Blanket,ファーの毛布
Bp_FurBlanket_CardDescription,Provides comfort and insulation while sleeping when placed on a bed.,ベッドの上にかけた時、快適さと体温が上がる。
Bp_FurBoots_CardName,Fur Boots,ファーのブーツ
Bp_FurBoots_UnlockConditionsDesc,Cured Skin Needed,皮革が必要
Bp_FurCoat_CardName,Fur Coat,ファーのコート
Bp_FurHat_CardName,Fur Hat,ファーの帽子
Bp_FurHat_CardDescription,"A bit hot, but should offer protection for my Head",少し熱いけど頭を守ってくれる。
Bp_FurMittens_CardName,Fur Mittens,ファーのミトン
Bp_FurMittens_CardDescription,Perfect for protecting my hands.,手を守ってくれる。
Bp_FurMittens_UnlockConditionsDesc,Fur Needed,ファーが必要
Bp_FurTrousers_CardName,Fur Trousers,ファーのズボン
Bp_FurTrousers_CardDescription,"A bit hot, but should offer protection to my legs.",少し熱いけど脚を守ってくれる。
Bp_GreenwardPouch_CardName,Green Ward Pouch,緑色の革ポーチ
Bp_HandBasket_CardName,Hand Basket,ハンドバスケット
Bp_HandBasket_CardDescription,Provides storage space and  preserves food longer.,収納スペースとして使える。入れた食べ物は長持ちする。
Bp_RiverPoultice_CardName,Healing Ointment,回復ペースト
Bp_RiverPoultice_CardDescription,Can be applied to wounds to increase their healing properties.,塗ったら傷口の回復が早くなる。
Bp_ImprovisedBed_CardName,Improvised Bed,手作りベッド
Bp_ImprovisedBed_CardDescription,"Increases wellbeing, focus and insulation while sleeping on it. Needs some daily maintenance.","これを使って寝たら体が温まり幸福度と集中力が向上する。\n毎日メンテナンスする必要がある。"
Bp_ImprovisedBed_UnlockConditionsDesc,Leaves Needed,葉が必要
Bp_Insecticide_CardName,insecticide,殺虫剤
Bp_KnifeSheath_CardName,Knife Sheath,ナイフの鞘
Bp_KnifeSheath_CardDescription,A portable knife carrier.,持ち運び可能なナイフケース
Bp_KnifeSheath_UnlockConditionsDesc,Animal Skin Needed,動物の皮が必要
Bp_Knife_Flint_CardName,Flint Knife,火打石のナイフ
Bp_Knife_Flint_CardDescription,Sharp enough to work wood and leather.,木や革を切るために使える。
Bp_LeatherBag_CardName,Leather Sack,革の袋
Bp_LeatherBag_CardDescription,Increases your carrying capacity.,持ち物の許容量が増える
Bp_LeatherBag_UnlockConditionsDesc,Animal Skin Needed,動物の皮が必要
Bp_LeatherBlanket_CardName,Leather Blanket,革の毛布
Bp_LeatherBlanket_CardDescription,Provides comfort and insulation while sleeping when placed on a bed.,ベッドの上にかけた時、快適さと体温が上がる。
Bp_LeatherBoots_CardName,Leather Boots,革のブーツ
Bp_LeatherBoots_CardDescription,Provide protection and insulation.,体を温め、身を守ってくれる。
Bp_LeatherBoots_UnlockConditionsDesc,Cured Skin Needed,皮革が必要
Bp_LeatherBracers_CardName,Leather Bracers,革のブレイサー
Bp_LeatherBracers_CardDescription,Provides protection.,身を守ってくれる。
Bp_LeatherBracers_UnlockConditionsDesc,Cured Skin Needed,皮革が必要
Bp_LeatherCloak_CardName,Leather Cloak,革のクローク
Bp_LeatherCloak_CardDescription,Provides protection and insulation.,体を温め、身を守ってくれる。
Bp_LeatherCoat_CardName,Leather Coat,革のコート
Bp_LeatherCoat_CardDescription,Provides protection and insulation.,体を温め、身を守ってくれる。
Bp_LeatherCuirass_CardName,Leather Cuirass,革の胸当て
Bp_LeatherCuirass_CardDescription,Provides protection and insulation.,体を温め、身を守ってくれる。
Bp_LeatherGloves_CardName,Leather Gloves,革のグローブ
Bp_LeatherGloves_CardDescription,"Provides protection, insulation and immunity to nettle rashes.",体を温め、身を守ってくれる。イラクサ発疹の耐性ができる。
Bp_LeatherGloves_UnlockConditionsDesc,More Leatherworking Needed,革加工のスキルが足りない
Bp_LeatherHaversack_CardName,Leather Haversack,革のハバーサック
Bp_LeatherHaversack_CardDescription,Increases your carrying capacity and can be equipped to free up hand slots.,持ち物の許容量が増え、装備すればハンドスロットを空ける。
Bp_LeatherHaversack_UnlockConditionsDesc,Satchel Needed,ショルダーバッグが必要
Bp_LeatherHelmet_CardName,Leather Helmet,革のヘルメット
Bp_LeatherHelmet_CardDescription,Provides protection.,身を守ってくれる。
Bp_LeatherHelmet_UnlockConditionsDesc,More Tailoring Needed,仕立てスキルが足りない
Bp_LeatherSatchel_CardName,Leather Satchel,革のショルダーバッグ
Bp_LeatherSatchel_CardDescription,Increases your carrying capacity and can be equipped to free up hand slots.,持ち物の許容量が増え、装備すればハンドスロットを空ける。
Bp_LeatherSatchel_UnlockConditionsDesc,Cured Skin Needed,皮革が必要
Bp_LeatherShoes_CardName,Leather Shoes,革靴
Bp_LeatherShoes_CardDescription,Provide protection and insulation.,体を温め、身を守ってくれる。
Bp_LeatherShoes_UnlockConditionsDesc,Animal Skin Needed,動物の皮が必要
Bp_LeatherTrousers_CardName,Leather Trousers,革のズボン
Bp_LeatherTrousers_CardDescription,Provide protection and insulation.,体を温め、身を守ってくれる。
Bp_LeatherTrousers_UnlockConditionsDesc,More Leatherworking Needed,革加工のスキルが足りない
Bp_LeatherTunic_CardName,Leather Tunic,革のチューニック
Bp_LeatherTunic_CardDescription,Provides protection and insulation.,体を温め、身を守ってくれる。
Bp_LeatherVest_CardName,Leather Vest,革のベスト
Bp_LeatherVest_CardDescription,Provides protection and insulation.,体を温め、身を守ってくれる。
Bp_Plaster_CardName,Plaster,石膏
Bp_Poridge_CardName,Porridge,お粥
Bp_Quiver_CardName,Quiver,矢筒
Bp_Quiver_CardDescription,Can store my arrows.,矢を収納できる。
Bp_Quiver_UnlockConditionsDesc,Arrows Needed,矢が必要
Bp_ReedCoat_CardName,Reed Coat,ヨシのコート
Bp_ReedCoat_CardDescription,A rainproof cape to protect me from the weather.,悪天候で守ってくれる防水ケイプ
Bp_ReedSkirt_CardName,Reed Skirt,ヨシのスカート
Bp_ReedSkirt_CardDescription,Simple clothing to cover your privates.,大事な部分を隠すために使えるシンプルな服。
Bp_ReedSkirt_UnlockConditionsDesc,Reeds Needed,ヨシが必要
Bp_ReedTunic_CardName,Reed Tunic,ヨシのチューニック
Bp_ReedTunic_CardDescription,Provides protection and insulation.,体を温め、身を守ってくれる。
Bp_Rope_CardName,Rope,ロープ
Bp_Sack_CardName,Sack,袋
Bp_Sack_CardDescription,"A cloth sack, good for carrying stuff around.",布の袋、物を運ぶのに便利。
Bp_Sack_UnlockConditionsDesc,More Tailoring Needed,仕立てスキルが足りない
Bp_ShirtCloth_CardName,Cloth Shirt,シャツ（布）
Bp_ShirtCloth_CardDescription,Should protect me a bit from bug bites and the sun.,虫や日差しから守ってくれる。
Bp_ShirtCloth_UnlockConditionsDesc,Cloth Needed
Bp_SimpleArrows_CardName,Simple Arrows,簡単な矢
Bp_SimpleArrows_CardDescription,Effective enough to hunt small animals.,小さい動物の狩りに使える。
Bp_SimpleArrows_UnlockConditionsDesc,More Woodworking Needed,木工のスキルが足りない
